spanish,english
la,the
el,he
es,is
lo,it
un,a
qué,that
me,I
una,a
los,the
mi,my
si,Yeah
pero,but
yo,I
eso,that
las,the
al,to the
le,you
más,further
esto,this
ya,already
esta,this
vamos,come on
muy,very
hay,there is
nos,us
nada,nothing
ha,ha
este,this
estás,are
cómo,as
sólo,only
tiene,has
gracias,thank you
bueno,Well
ser,be
hacer,do
son,are
era,was
eres,are
vez,time
tienes,have
creo,believe
ese,that
voy,go
hola,hello
sus,their
porque,because
quién,who
nunca,never
dónde,where
esa,that
dos,two
están,are
va,goes
hombre,man
mucho,a lot
tenemos,have
